thema;bron;Deelmodel;attribuut;waarde;label-nl;definitie;naam waardelijst;URL
telecom;imkl2015;wion;us-net-common:appurtenanceType;afdekplaten;afdekplaten;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/afdekplaten
telecom;imkl2015;wion;us-net-common:appurtenanceType;doorvoerramen;doorvoerramen;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/doorvoerramen
telecom;imkl2015;wion;telecommunicationsCableMaterialType;coaxial;coaxial;definitie;TelecommunicationsCableMaterialTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsCableMaterialTypeValue/coaxial
telecom;imkl2015;wion;telecommunicationsCableMaterialType;opticalFiber;opticalFiber;definitie;TelecommunicationsCableMaterialTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsCableMaterialTypeValue/opticalFiber
telecom;imkl2015;wion;telecommunicationsCableMaterialType;twistedPair;twistedPair;definitie;TelecommunicationsCableMaterialTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsCableMaterialTypeValue/twistedPair
telecom;;wion;us-net-common:appurtenanceType;puntVanLevering;punt van levering;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/puntVanLevering
olie-gas-chemicalien;imkl2015;wion;us-net-common:appurtenanceType;buis;buis;definitie;OilGasChemicalsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/OilGasChemicalsAppurtenanceIMKLTypeValue/buis
olie-gas-chemicalien;imkl2015;wion;us-net-common:appurtenanceType;bocht;bocht;definitie;OilGasChemicalsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/OilGasChemicalsAppurtenanceIMKLTypeValue/bocht
olie-gas-chemicalien;imkl2015;wion;us-net-common:appurtenanceType;tstuk;t stuk;definitie;OilGasChemicalsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/OilGasChemicalsAppurtenanceIMKLTypeValue/tstuk
olie-gas-chemicalien;imkl2015;wion;us-net-common:appurtenanceType;bodem;bodem;definitie;OilGasChemicalsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/OilGasChemicalsAppurtenanceIMKLTypeValue/bodem
olie-gas-chemicalien;imkl2015;wion;us-net-common:appurtenanceType;lasnok;lasnok;definitie;OilGasChemicalsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/OilGasChemicalsAppurtenanceIMKLTypeValue/lasnok
olie-gas-chemicalien;imkl2015;wion;us-net-common:appurtenanceType;expansiestuk;expansiestuk;definitie;OilGasChemicalsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/OilGasChemicalsAppurtenanceIMKLTypeValue/expansiestuk
olie-gas-chemicalien;imkl2015;wion;us-net-common:appurtenanceType;isolatieKoppeling;isolatie koppeling;definitie;OilGasChemicalsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/OilGasChemicalsAppurtenanceIMKLTypeValue/isolatieKoppeling
olie-gas-chemicalien;imkl2015;wion;us-net-common:appurtenanceType;vloeistofvanger;vloeistofvanger;definitie;OilGasChemicalsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/OilGasChemicalsAppurtenanceIMKLTypeValue/vloeistofvanger
olie-gas-chemicalien;imkl2015;wion;us-net-common:appurtenanceType;raaginrichting;raaginrichting;definitie;OilGasChemicalsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/OilGasChemicalsAppurtenanceIMKLTypeValue/raaginrichting
olie-gas-chemicalien;imkl2015;wion;us-net-common:appurtenanceType;algemeenGasTransportOnderdeel;Algemeen (gas) transport onderdeel;definitie;OilGasChemicalsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/OilGasChemicalsAppurtenanceIMKLTypeValue/algemeenGasTransportOnderdeel
olie-gas-chemicalien;imkl2015;wion;us-net-ogc:oilGasChemicalsProductType;mud;mud;definitie;OilGasChemicalsProductIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/OilGasChemicalsProductIMKLTypeValue/mud
olie-gas-chemicalien;imkl2015;wion;us-net-ogc:oilGasChemicalsProductType;methanol;methanol;definitie;OilGasChemicalsProductIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/OilGasChemicalsProductIMKLTypeValue/methanol
olie-gas-chemicalien;imkl2015;wion;us-net-ogc:oilGasChemicalsProductType;emulsie;emulsie;definitie;OilGasChemicalsProductIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/OilGasChemicalsProductIMKLTypeValue/emulsie
olie-gas-chemicalien;imkl2015;wion;us-net-ogc:oilGasChemicalsProductType;glycol;glycol;definitie;OilGasChemicalsProductIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/OilGasChemicalsProductIMKLTypeValue/glycol
